"Population aged 15-74 (LFS), 1000s by labour status, born in Sweden/foreign-born, level of education, sex and year"

"labour status","born in Sweden/foreign-born","level of education","sex","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"total","born in Sweden","post secondary education","women",923.6,953.9,973.3,990.8,1022.6,1055.7,1102.1,1156.1,1198.6,1237.0,1270.7,1306.6,1335.7,1396.1,1443.8,1484.1,1502.8,1534.1,1548.9,1574.0
"total","born in Sweden","post secondary education","total",1713.2,1769.9,1810.1,1839.6,1881.6,1949.5,2026.0,2104.8,2180.2,2257.5,2324.9,2395.0,2437.3,2520.5,2584.0,2651.9,2685.5,2747.7,2791.1,2828.5
"total","born in Sweden","no information about level of educational attainment","men",23.4,16.7,20.6,17.7,12.4,5.9,4.1,4.8,3.2,3.1,5.5,4.3,4.2,4.2,6.8,4.7,..,..,..,..
"total","born in Sweden","no information about level of educational attainment","women",16.4,7.7,9.2,8.6,10.2,6.2,3.9,3.9,2.7,2.8,4.8,2.8,2.3,..,..,..,..,..,..,..
"total","born in Sweden","no information about level of educational attainment","total",39.8,24.5,29.8,26.3,22.6,12.1,7.9,8.7,5.9,5.9,10.4,7.0,6.5,5.7,8.8,6.7,7.5,6.2,8.3,6.7
"total","foreign-born","All educational levels","men",464.1,474.7,492.8,514.3,537.9,555.4,580.6,607.0,635.5,653.0,670.2,705.6,751.7,806.3,852.5,873.3,898.6,924.8,949.8,954.7
"total","foreign-born","All educational levels","women",502.5,524.8,547.1,571.3,594.5,621.4,638.1,647.0,660.1,694.9,733.8,763.7,805.1,822.3,841.0,866.5,873.7,897.6,919.9,933.0
"total","foreign-born","All educational levels","total",966.5,999.5,1040.0,1085.6,1132.3,1176.9,1218.7,1254.0,1295.6,1347.9,1404.0,1469.3,1556.9,1628.6,1693.5,1739.8,1772.3,1822.4,1869.7,1887.7
"total","foreign-born","primary and lower secondary education","men",126.1,129.0,128.9,133.2,135.3,133.6,138.5,148.1,162.4,164.2,163.2,165.4,179.3,201.0,215.4,221.4,214.4,218.8,211.2,212.6
"total","foreign-born","primary and lower secondary education","women",129.1,139.0,147.7,153.9,152.0,159.5,161.1,168.7,168.8,174.3,176.2,183.4,190.9,192.0,197.2,207.0,200.4,202.1,191.6,181.7
"total","foreign-born","primary and lower secondary education","total",255.2,268.1,276.7,287.1,287.3,293.1,299.7,316.8,331.2,338.5,339.4,348.8,370.3,393.0,412.5,428.3,414.7,421.0,402.8,394.2
"total","foreign-born","upper secondary education","men",195.6,193.4,200.9,207.7,218.3,226.7,233.1,236.1,243.5,242.2,246.1,253.1,258.2,268.8,284.6,295.1,302.7,300.0,302.0,296.6
"total","foreign-born","upper secondary education","women",195.3,204.1,204.1,204.8,220.2,229.9,231.7,225.4,223.5,229.7,232.6,231.4,244.4,253.5,257.7,258.2,258.2,253.2,247.6,258.1
"total","foreign-born","upper secondary education","total",390.9,397.5,405.0,412.5,438.5,456.6,464.7,461.5,467.0,471.9,478.8,484.5,502.6,522.3,542.3,553.3,560.8,553.2,549.7,554.7
"total","foreign-born","post secondary education","men",124.8,133.7,146.0,158.7,172.3,186.4,199.4,213.5,225.3,241.5,249.2,279.7,303.7,322.3,341.4,342.3,370.6,394.8,424.5,432.1
"total","foreign-born","post secondary education","women",158.3,164.9,176.6,194.4,206.9,219.7,234.3,244.0,260.7,285.5,313.6,342.2,361.7,366.9,372.3,388.6,402.2,432.2,472.9,484.5
"total","foreign-born","post secondary education","total",283.2,298.6,322.6,353.1,379.3,406.1,433.7,457.5,486.0,526.9,562.9,621.9,665.4,689.1,713.6,730.9,772.7,827.0,897.3,916.5
"total","foreign-born","no information about level of educational attainment","men",17.5,18.5,16.9,14.7,11.9,8.8,9.6,9.3,4.4,5.2,11.7,7.4,10.5,14.3,11.2,14.5,11.0,11.1,12.1,13.4
"total","foreign-born","no information about level of educational attainment","women",19.7,16.8,18.8,18.2,15.4,12.3,11.0,8.9,7.1,5.4,11.4,6.7,8.1,9.9,13.8,12.7,13.0,10.1,7.8,8.8
"total","foreign-born","no information about level of educational attainment","total",37.2,35.3,35.7,32.9,27.3,21.1,20.6,18.2,11.5,10.6,23.0,14.1,18.6,24.2,25.0,27.2,24.0,21.2,19.8,22.2
"total","total","All educational levels","men",3340.0,3378.7,3419.0,3460.1,3496.6,3533.4,3561.5,3583.4,3602.7,3630.3,3659.1,3696.0,3741.5,3771.8,3799.0,3812.9,3821.3,3840.9,3860.5,3862.8
"total","total","All educational levels","women",3294.3,3325.4,3357.6,3392.6,3429.7,3461.2,3485.3,3505.8,3525.4,3546.9,3568.7,3595.8,3629.4,3655.5,3676.0,3687.8,3696.3,3712.5,3728.1,3737.3
"total","total","All educational levels","total",6634.2,6704.0,6776.6,6852.7,6926.3,6994.6,7046.8,7089.2,7128.2,7177.2,7227.8,7291.8,7371.0,7427.3,7475.0,7500.7,7517.6,7553.4,7588.6,7600.1
"total","total","primary and lower secondary education","men",873.3,872.8,862.3,859.2,843.6,831.1,815.1,806.8,778.8,759.4,732.5,707.0,710.0,705.7,709.4,700.4,674.5,668.9,658.3,662.4
"total","total","primary and lower secondary education","women",768.5,755.9,747.0,752.0,729.9,721.2,703.0,682.0,659.0,630.8,605.9,601.9,598.3,572.6,569.9,562.6,551.7,535.3,526.0,513.9
"total","total","primary and lower secondary education","total",1641.8,1628.7,1609.4,1611.2,1573.5,1552.3,1518.1,1488.8,1437.7,1390.2,1338.5,1308.9,1308.3,1278.3,1279.3,1263.1,1226.2,1204.1,1184.3,1176.3
"total","total","upper secondary education","men",1511.3,1520.9,1536.3,1561.0,1597.3,1607.4,1609.3,1600.4,1609.5,1600.7,1605.9,1609.2,1611.5,1600.9,1590.0,1583.2,1578.6,1549.3,1519.4,1498.1
"total","total","upper secondary education","women",1407.7,1426.1,1432.8,1428.6,1444.6,1446.0,1430.9,1410.8,1397.4,1385.4,1362.3,1335.7,1323.3,1308.5,1274.2,1237.8,1223.1,1197.8,1168.5,1151.7
"total","total","upper secondary education","total",2919.0,2947.0,2969.0,2989.6,3042.0,3053.4,3040.3,3011.1,3006.9,2986.1,2968.2,2944.9,2934.8,2909.4,2864.2,2820.9,2801.7,2747.2,2687.8,2649.8
"total","total","post secondary education","men",914.5,949.7,982.8,1007.4,1031.3,1080.2,1123.4,1162.2,1206.9,1262.0,1303.4,1368.1,1405.3,1446.7,1481.5,1510.1,1553.2,1608.3,1666.6,1686.6
"total","total","post secondary education","women",1081.9,1118.8,1149.9,1185.3,1229.6,1275.4,1336.4,1400.1,1459.3,1522.5,1584.3,1648.8,1697.4,1763.0,1816.1,1872.7,1904.9,1966.3,2021.8,2058.4
"total","total","post secondary education","total",1996.4,2068.5,2132.7,2192.7,2260.9,2355.7,2459.8,2562.3,2666.2,2784.5,2887.8,3016.9,3102.7,3209.7,3297.6,3382.8,3458.2,3574.6,3688.4,3745.1
"total","total","no information about level of educational attainment","men",40.9,35.3,37.5,32.4,24.4,14.7,13.7,14.1,7.6,8.3,17.2,11.7,14.7,18.4,18.0,19.2,15.0,14.3,16.2,15.7
"total","total","no information about level of educational attainment","women",36.1,24.5,28.0,26.8,25.6,18.6,14.9,12.9,9.8,8.2,16.2,9.5,10.4,11.4,15.8,14.7,16.6,13.1,11.9,13.2
"total","total","no information about level of educational attainment","total",77.0,59.8,65.5,59.2,49.9,33.2,28.6,26.9,17.4,16.4,33.4,21.1,25.2,29.8,33.8,33.9,31.5,27.4,28.1,28.9
"unemployed","born in Sweden","All educational levels","men",146.7,129.5,110.9,111.0,161.4,163.9,136.8,143.5,141.7,142.8,124.0,113.8,105.0,92.7,97.7,121.2,126.5,101.7,112.4,124.7
"unemployed","born in Sweden","All educational levels","women",134.6,125.2,109.1,110.2,136.5,137.5,123.9,126.4,127.4,118.8,106.3,92.3,85.7,81.7,92.5,102.5,105.1,95.7,103.7,114.9
"unemployed","born in Sweden","All educational levels","total",281.3,254.8,220.0,221.2,297.9,301.4,260.7,269.9,269.1,261.5,230.3,206.1,190.7,174.4,190.2,223.7,231.6,197.4,216.1,239.5
"unemployed","born in Sweden","primary and lower secondary education","men",39.7,38.1,35.2,36.1,42.6,46.2,40.4,42.3,39.4,36.6,30.1,31.2,27.8,25.2,28.4,31.6,35.7,34.3,37.1,39.6
"unemployed","born in Sweden","primary and lower secondary education","women",38.5,37.4,35.8,37.6,38.8,39.1,36.0,37.4,36.7,34.9,31.5,26.9,25.4,25.2,30.0,28.6,35.5,35.8,36.8,39.4
"unemployed","born in Sweden","primary and lower secondary education","total",78.2,75.5,71.0,73.7,81.4,85.3,76.4,79.6,76.1,71.5,61.6,58.0,53.3,50.4,58.5,60.2,71.2,70.0,73.8,79.1
"unemployed","born in Sweden","upper secondary education","men",73.8,64.3,49.6,50.4,89.6,85.9,67.7,69.5,71.9,71.0,61.6,53.2,47.3,40.3,41.7,53.2,53.9,42.9,43.5,44.6
"unemployed","born in Sweden","upper secondary education","women",60.3,56.5,46.7,47.5,65.7,66.0,59.3,57.3,55.5,50.4,43.5,37.3,32.5,28.6,28.7,35.1,33.3,27.8,28.3,33.2
"unemployed","born in Sweden","upper secondary education","total",134.1,120.8,96.3,97.9,155.3,151.9,127.1,126.8,127.3,121.4,105.1,90.5,79.9,68.9,70.4,88.3,87.2,70.6,71.8,77.8
"unemployed","born in Sweden","post secondary education","men",32.1,26.5,24.4,23.7,28.9,31.4,28.3,31.4,30.4,35.1,32.0,29.3,29.7,27.1,27.2,36.3,36.6,24.6,31.0,40.4
"unemployed","born in Sweden","post secondary education","women",33.7,31.0,25.9,25.1,31.5,32.3,28.3,31.5,35.2,33.4,31.3,27.9,27.7,27.9,33.7,38.5,35.7,31.8,38.4,42.1
"unemployed","born in Sweden","post secondary education","total",65.8,57.5,50.3,48.8,60.3,63.7,56.6,62.9,65.6,68.5,63.3,57.2,57.4,55.0,60.9,74.8,72.3,56.4,69.4,82.5
"unemployed","born in Sweden","no information about level of educational attainment","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"unemployed","born in Sweden","no information about level of educational attainment","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"unemployed","born in Sweden","no information about level of educational attainment","total",3.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"unemployed","foreign-born","All educational levels","men",48.3,43.8,39.2,41.8,61.9,63.6,70.3,74.9,78.8,80.2,82.4,89.4,91.5,92.0,95.5,124.3,125.6,108.2,112.2,122.6
"unemployed","foreign-born","All educational levels","women",41.5,41.4,41.8,44.9,52.0,63.0,62.4,61.1,66.0,72.5,77.1,75.1,80.6,82.6,91.8,118.1,135.6,115.6,111.2,118.3
"unemployed","foreign-born","All educational levels","total",89.8,85.3,81.0,86.7,113.9,126.6,132.8,135.9,144.8,152.7,159.5,164.5,172.1,174.6,187.3,242.4,261.2,223.8,223.5,240.8
"unemployed","foreign-born","primary and lower secondary education","men",15.4,13.5,12.2,13.4,17.7,19.0,20.4,23.5,25.7,29.0,29.0,30.3,32.1,34.8,38.5,50.6,53.9,48.9,43.1,45.8
"unemployed","foreign-born","primary and lower secondary education","women",12.3,11.3,12.0,15.0,14.7,17.6,19.0,18.6,21.8,25.3,27.9,29.0,30.2,32.2,36.7,42.4,56.9,45.9,41.5,39.9
"unemployed","foreign-born","primary and lower secondary education","total",27.7,24.8,24.2,28.3,32.4,36.6,39.4,42.2,47.5,54.3,56.9,59.3,62.3,67.0,75.3,93.1,110.8,94.8,84.6,85.7
"unemployed","foreign-born","upper secondary education","men",18.2,16.9,15.0,15.9,25.4,25.8,28.5,27.4,29.9,28.9,27.4,28.8,29.7,27.0,28.4,36.8,38.1,33.3,37.3,42.6
"unemployed","foreign-born","upper secondary education","women",14.5,16.6,17.3,16.5,19.8,23.7,21.9,20.6,21.6,21.3,23.1,19.8,21.7,23.7,24.2,35.5,38.7,34.8,27.3,26.6
"unemployed","foreign-born","upper secondary education","total",32.7,33.5,32.2,32.4,45.2,49.5,50.4,48.0,51.5,50.2,50.4,48.7,51.4,50.7,52.6,72.3,76.8,68.1,64.6,69.1
"unemployed","foreign-born","post secondary education","men",13.7,12.6,11.4,12.0,18.1,18.3,20.5,23.1,22.8,21.9,25.3,29.5,28.7,28.9,27.6,35.0,32.8,25.4,30.6,33.1
"unemployed","foreign-born","post secondary education","women",13.8,12.7,11.5,12.8,16.4,21.0,21.0,21.6,22.2,25.6,25.4,25.8,28.0,25.5,28.5,38.9,37.4,33.2,41.0,50.2
"unemployed","foreign-born","post secondary education","total",27.5,25.4,23.0,24.8,34.6,39.3,41.6,44.6,45.0,47.5,50.7,55.3,56.7,54.4,56.1,73.9,70.2,58.6,71.6,83.3
"unemployed","foreign-born","no information about level of educational attainment","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"unemployed","foreign-born","no information about level of educational attainment","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"unemployed","foreign-born","no information about level of educational attainment","total",..,1.6,1.7,..,..,1.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"unemployed","total","All educational levels","men",195.0,173.4,150.1,152.8,223.3,227.5,207.1,218.4,220.5,223.0,206.4,203.2,196.5,184.7,193.2,245.5,252.1,209.9,224.6,247.2
"unemployed","total","All educational levels","women",176.0,166.6,150.9,155.1,188.6,200.5,186.3,187.5,193.4,191.3,183.4,167.3,166.3,164.4,184.3,220.6,240.7,211.3,214.9,233.2
"unemployed","total","All educational levels","total",371.1,340.0,301.0,307.9,411.8,428.0,393.4,405.8,413.9,414.3,389.8,370.6,362.8,349.1,377.5,466.1,492.8,421.1,439.6,480.4
"unemployed","total","primary and lower secondary education","men",55.1,51.5,47.4,49.5,60.3,65.2,60.8,65.8,65.1,65.7,59.1,61.5,59.9,60.0,67.0,82.2,89.5,83.2,80.1,85.4
"unemployed","total","primary and lower secondary education","women",50.8,48.7,47.9,52.5,53.6,56.7,54.9,56.0,58.5,60.1,59.4,55.8,55.6,57.4,66.7,71.1,92.5,81.7,78.3,79.3
"unemployed","total","primary and lower secondary education","total",105.9,100.3,95.2,102.0,113.8,121.9,115.8,121.8,123.6,125.8,118.5,117.3,115.6,117.4,133.7,153.3,182.0,164.9,158.4,164.7
"unemployed","total","upper secondary education","men",92.0,81.2,64.5,66.3,115.0,111.7,96.2,96.9,101.8,99.9,89.0,82.0,77.0,67.3,70.1,90.0,92.0,76.1,80.7,87.2
"unemployed","total","upper secondary education","women",74.8,73.1,63.9,64.0,85.5,89.6,81.2,78.0,77.1,71.7,66.6,57.2,54.2,52.4,52.9,70.6,72.1,62.6,55.6,59.8
"unemployed","total","upper secondary education","total",166.8,154.3,128.5,130.2,200.5,201.4,177.4,174.9,178.9,171.6,155.5,139.2,131.3,119.7,123.0,160.6,164.0,138.8,136.4,147.0
"unemployed","total","post secondary education","men",45.8,39.2,35.9,35.7,47.0,49.6,48.8,54.5,53.2,57.0,57.3,58.8,58.4,55.9,54.8,71.3,69.4,50.0,61.7,73.5
"unemployed","total","post secondary education","women",47.5,43.7,37.4,37.9,47.9,53.3,49.4,53.1,57.4,59.0,56.7,53.7,55.8,53.4,62.2,77.4,73.1,65.0,79.4,92.3
"unemployed","total","post secondary education","total",93.4,82.8,73.3,73.6,94.9,102.9,98.2,107.5,110.6,116.0,114.0,112.5,114.1,109.3,117.0,148.7,142.6,115.0,141.1,165.9
"unemployed","total","no information about level of educational attainment","men",2.0,1.5,2.3,..,..,1.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"unemployed","total","no information about level of educational attainment","women",2.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"unemployed","total","no information about level of educational attainment","total",4.9,2.6,4.0,2.1,2.6,1.8,2.0,1.6,..,..,1.8,..,..,..,..,3.5,..,..,..,..
"not in the labour force","born in Sweden","All educational levels","men",738.7,744.0,742.4,753.7,777.3,771.6,777.6,776.7,766.3,758.4,772.8,783.3,770.4,750.2,740.5,732.4,714.9,710.7,713.8,705.0
"not in the labour force","born in Sweden","All educational levels","women",871.7,867.8,858.2,858.4,886.1,903.6,884.3,876.1,870.1,857.9,848.1,838.3,824.5,815.3,797.9,824.2,825.4,793.7,774.3,767.8
"not in the labour force","born in Sweden","All educational levels","total",1610.4,1611.8,1600.6,1612.1,1663.4,1675.2,1661.9,1652.8,1636.5,1616.3,1621.0,1621.6,1595.0,1565.5,1538.4,1556.6,1540.3,1504.4,1488.0,1472.8
"not in the labour force","born in Sweden","primary and lower secondary education","men",378.9,372.3,374.7,379.3,380.4,369.8,361.7,359.2,335.0,321.2,313.3,305.1,301.8,283.3,273.3,268.5,254.6,246.2,250.2,244.7
"not in the labour force","born in Sweden","primary and lower secondary education","women",393.3,378.2,366.5,369.0,363.9,359.2,346.5,323.9,313.5,292.4,276.0,269.8,256.0,235.9,228.3,227.1,218.1,191.5,188.8,189.4
"not in the labour force","born in Sweden","primary and lower secondary education","total",772.2,750.5,741.2,748.3,744.3,728.9,708.2,683.1,648.5,613.6,589.3,574.9,557.8,519.2,501.6,495.7,472.8,437.7,439.0,434.1
"not in the labour force","born in Sweden","upper secondary education","men",221.7,226.4,225.1,233.8,257.0,259.7,260.0,260.3,268.9,266.5,274.2,288.1,279.0,273.4,264.1,252.1,257.8,262.5,258.3,260.1
"not in the labour force","born in Sweden","upper secondary education","women",299.8,308.7,313.5,311.9,323.7,332.7,322.4,325.1,327.6,333.7,336.2,330.3,316.0,319.1,308.0,309.3,323.8,324.7,305.9,292.3
"not in the labour force","born in Sweden","upper secondary education","total",521.5,535.1,538.6,545.7,580.7,592.4,582.3,585.5,596.5,600.2,610.5,618.4,595.0,592.4,572.1,561.3,581.6,587.2,564.2,552.4
"not in the labour force","born in Sweden","post secondary education","men",120.8,132.9,128.2,127.8,130.4,137.8,153.0,153.8,159.9,168.3,181.3,186.6,186.5,190.5,198.4,208.5,199.6,199.5,202.1,197.9
"not in the labour force","born in Sweden","post secondary education","women",167.5,174.8,171.5,170.7,190.2,206.1,212.4,223.6,226.6,229.5,232.1,236.4,251.3,259.2,260.4,286.6,280.5,275.1,276.1,282.3
"not in the labour force","born in Sweden","post secondary education","total",288.3,307.7,299.7,298.5,320.6,343.9,365.4,377.4,386.5,397.8,413.4,423.1,437.7,449.8,458.7,495.1,480.0,474.6,478.2,480.2
"not in the labour force","born in Sweden","no information about level of educational attainment","men",17.3,12.5,14.5,12.8,9.5,4.4,3.0,3.4,2.5,2.4,3.9,3.5,3.1,3.0,4.7,..,..,..,..,..
"not in the labour force","born in Sweden","no information about level of educational attainment","women",11.1,6.1,6.7,6.8,8.3,5.6,3.1,3.5,2.4,2.3,3.9,1.8,1.3,..,..,..,..,..,..,..
"not in the labour force","born in Sweden","no information about level of educational attainment","total",28.4,18.6,21.2,19.6,17.8,10.0,6.1,6.9,5.0,4.7,7.8,5.3,4.4,4.1,5.9,4.5,5.9,..,6.6,6.1
"not in the labour force","foreign-born","All educational levels","men",140.8,145.2,151.0,147.1,153.0,156.1,153.6,161.1,165.3,162.5,166.3,165.0,163.3,187.0,188.9,185.5,183.4,168.5,149.7,166.5
"not in the labour force","foreign-born","All educational levels","women",200.0,211.1,216.0,225.1,233.7,245.3,244.6,243.0,240.6,243.7,247.7,260.3,265.2,267.0,278.1,281.9,257.3,260.2,241.3,239.1
"not in the labour force","foreign-born","All educational levels","total",340.8,356.3,367.1,372.2,386.7,401.5,398.2,404.1,405.9,406.3,414.0,425.3,428.5,454.1,466.9,467.5,440.7,428.8,391.0,405.6
"not in the labour force","foreign-born","primary and lower secondary education","men",57.4,57.4,60.7,61.3,61.5,59.1,61.1,67.4,75.4,72.7,70.2,66.6,69.9,80.5,85.7,84.1,82.5,72.9,65.2,69.4
"not in the labour force","foreign-born","primary and lower secondary education","women",75.4,82.8,87.4,92.0,94.7,101.2,99.3,102.3,101.9,100.4,100.6,104.4,106.6,103.0,106.5,114.4,94.2,98.5,95.3,85.5
"not in the labour force","foreign-born","primary and lower secondary education","total",132.8,140.2,148.1,153.2,156.2,160.3,160.5,169.7,177.3,173.1,170.9,171.0,176.5,183.5,192.2,198.6,176.7,171.3,160.5,154.9
"not in the labour force","foreign-born","upper secondary education","men",51.0,51.1,53.1,51.0,57.6,59.6,54.6,55.4,54.4,52.6,52.7,55.5,49.8,56.4,55.5,55.5,55.9,48.4,42.2,50.2
"not in the labour force","foreign-born","upper secondary education","women",64.9,70.7,70.6,69.0,75.9,81.3,80.7,74.9,72.9,74.9,72.5,75.1,78.2,80.7,87.0,82.2,78.6,74.7,69.5,70.5
"not in the labour force","foreign-born","upper secondary education","total",115.9,121.7,123.8,120.0,133.5,140.9,135.3,130.3,127.2,127.5,125.3,130.6,128.0,137.2,142.5,137.7,134.6,123.2,111.7,120.6
"not in the labour force","foreign-born","post secondary education","men",21.1,23.2,26.6,26.9,28.1,32.9,33.1,33.4,33.4,35.7,40.1,40.7,40.3,45.2,44.1,41.7,42.6,45.1,39.3,44.2
"not in the labour force","foreign-born","post secondary education","women",44.2,43.3,42.7,49.8,51.4,52.9,55.4,58.2,60.0,64.5,66.7,76.4,76.3,78.3,77.1,78.7,76.6,82.1,73.2,79.2
"not in the labour force","foreign-born","post secondary education","total",65.2,66.5,69.4,76.6,79.5,85.8,88.5,91.6,93.4,100.2,106.8,117.1,116.6,123.5,121.2,120.4,119.2,127.2,112.5,123.4
"not in the labour force","foreign-born","no information about level of educational attainment","men",11.3,13.5,10.6,7.9,5.8,4.4,4.7,4.8,2.2,..,3.2,2.3,3.3,4.9,..,4.1,..,..,..,..
"not in the labour force","foreign-born","no information about level of educational attainment","women",15.5,14.4,15.3,14.4,11.7,10.0,9.2,7.6,5.8,4.0,7.9,4.4,4.0,5.0,7.4,6.7,7.9,..,..,..
"not in the labour force","foreign-born","no information about level of educational attainment","total",26.8,27.9,25.9,22.3,17.5,14.4,13.9,12.5,8.0,5.6,11.0,6.7,7.4,9.9,11.0,10.8,10.2,7.0,6.3,6.6
"not in the labour force","total","All educational levels","men",879.5,889.2,893.4,900.8,930.3,927.7,931.1,937.8,931.7,921.0,939.1,948.4,933.8,937.3,929.3,917.9,898.2,879.3,863.4,871.5
"not in the labour force","total","All educational levels","women",1071.7,1078.9,1074.2,1083.5,1119.9,1149.0,1129.0,1119.1,1110.7,1101.6,1095.8,1098.6,1089.7,1082.3,1076.0,1106.2,1082.7,1054.0,1015.6,1006.9
"not in the labour force","total","All educational levels","total",1951.2,1968.1,1967.6,1984.3,2050.2,2076.7,2060.1,2057.0,2042.4,2022.6,2034.9,2046.9,2023.4,2019.6,2005.3,2024.0,1980.9,1933.2,1879.0,1878.4
"not in the labour force","total","primary and lower secondary education","men",436.4,429.7,435.4,440.6,441.9,428.9,422.8,426.6,410.4,393.9,383.6,371.7,371.7,363.9,359.0,352.7,337.1,319.1,315.4,314.1
"not in the labour force","total","primary and lower secondary education","women",468.7,461.0,453.9,461.0,458.6,460.4,445.8,426.1,415.4,392.8,376.6,374.2,362.6,338.8,334.9,341.6,312.3,289.9,284.1,274.9
"not in the labour force","total","primary and lower secondary education","total",905.1,890.7,889.2,901.6,900.5,889.3,868.6,852.8,825.9,786.7,760.2,745.9,734.3,702.7,693.9,694.2,649.5,609.0,599.6,589.0
"not in the labour force","total","upper secondary education","men",272.7,277.4,278.2,284.8,314.6,319.3,314.6,315.7,323.3,319.1,327.0,343.6,328.8,329.8,319.6,307.6,313.7,310.9,300.5,310.3
"not in the labour force","total","upper secondary education","women",364.7,379.4,384.2,380.9,399.7,414.0,403.1,400.0,400.5,408.5,408.8,405.4,394.2,399.8,395.0,391.5,402.4,399.4,375.4,362.7
"not in the labour force","total","upper secondary education","total",637.4,656.8,662.3,665.7,714.3,733.3,717.6,715.7,723.7,727.6,735.7,748.9,723.0,729.6,714.6,699.0,716.2,710.3,675.9,673.0
"not in the labour force","total","post secondary education","men",141.9,156.1,154.8,154.6,158.5,170.7,186.1,187.2,193.3,204.0,221.5,227.3,226.8,235.7,242.4,250.2,242.1,244.6,241.4,242.1
"not in the labour force","total","post secondary education","women",211.7,218.1,214.2,220.4,241.6,259.0,267.8,281.8,286.6,294.0,298.7,312.8,327.6,337.5,337.5,365.3,357.1,357.2,349.3,361.5
"not in the labour force","total","post secondary education","total",353.6,374.2,369.0,375.1,400.1,429.7,453.9,469.0,479.9,498.0,520.2,540.1,554.3,573.3,579.9,615.5,599.2,601.8,590.7,603.6
"not in the labour force","total","no information about level of educational attainment","men",28.6,26.0,25.1,20.8,15.3,8.9,7.7,8.3,4.7,4.0,7.1,5.8,6.4,7.9,8.3,7.4,5.2,..,6.1,..
"not in the labour force","total","no information about level of educational attainment","women",26.6,20.5,22.0,21.2,20.0,15.6,12.2,11.1,8.3,6.3,11.7,6.2,5.3,6.2,8.6,7.9,10.9,7.4,6.7,7.7
"not in the labour force","total","no information about level of educational attainment","total",55.2,46.5,47.1,42.0,35.3,24.4,20.0,19.4,12.9,10.3,18.8,12.0,11.8,14.1,17.0,15.3,16.1,12.0,12.9,12.7
