"Andel sysselsatta efter region, kön, utbildningsnivå, bakgrundsvariabel och år"

"region","kön","utbildningsnivå","bakgrundsvariabel","2022","2023"
"18 Örebro län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Sverige",84.6,83.7
"18 Örebro län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Norden exkl. Sverige",75.3,73.2
"18 Örebro län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: EU/EFTA exkl. Norden",70.9,70.9
"18 Örebro län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: övriga världen",67.4,68.4
"18 Örebro län","män och kvinnor","samtliga utbildningsnivåer","samtliga utrikes födda invandrare",68.3,69.0
"19 Västmanlands län","män och kvinnor","samtliga utbildningsnivåer","samtliga",80.9,80.5
"19 Västmanlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Sverige",85.2,84.5
"19 Västmanlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Norden exkl. Sverige",77.1,75.5
"19 Västmanlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: EU/EFTA exkl. Norden",73.4,74.1
"19 Västmanlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: övriga världen",68.5,69.4
"19 Västmanlands län","män och kvinnor","samtliga utbildningsnivåer","samtliga utrikes födda invandrare",69.6,70.3
"20 Dalarnas län","män och kvinnor","samtliga utbildningsnivåer","samtliga",83.1,82.9
"20 Dalarnas län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Sverige",86.5,85.8
"20 Dalarnas län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Norden exkl. Sverige",76.5,75.9
"20 Dalarnas län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: EU/EFTA exkl. Norden",72.8,73.0
"20 Dalarnas län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: övriga världen",64.3,66.8
"20 Dalarnas län","män och kvinnor","samtliga utbildningsnivåer","samtliga utrikes födda invandrare",66.4,68.4
"21 Gävleborgs län","män och kvinnor","samtliga utbildningsnivåer","samtliga",81.1,80.9
"21 Gävleborgs län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Sverige",85.0,84.2
"21 Gävleborgs län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Norden exkl. Sverige",75.1,74.7
"21 Gävleborgs län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: EU/EFTA exkl. Norden",68.0,69.6
"21 Gävleborgs län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: övriga världen",63.1,65.3
"21 Gävleborgs län","män och kvinnor","samtliga utbildningsnivåer","samtliga utrikes födda invandrare",64.3,66.3
"22 Västernorrlands län","män och kvinnor","samtliga utbildningsnivåer","samtliga",82.9,82.7
"22 Västernorrlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Sverige",85.6,85.1
"22 Västernorrlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Norden exkl. Sverige",78.4,76.5
"22 Västernorrlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: EU/EFTA exkl. Norden",66.7,67.4
"22 Västernorrlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: övriga världen",67.3,69.5
"22 Västernorrlands län","män och kvinnor","samtliga utbildningsnivåer","samtliga utrikes födda invandrare",68.1,69.7
"23 Jämtlands län","män och kvinnor","samtliga utbildningsnivåer","samtliga",85.2,84.9
"23 Jämtlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Sverige",87.4,87.0
"23 Jämtlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Norden exkl. Sverige",79.6,79.7
"23 Jämtlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: EU/EFTA exkl. Norden",68.4,67.7
"23 Jämtlands län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: övriga världen",71.6,72.1
"23 Jämtlands län","män och kvinnor","samtliga utbildningsnivåer","samtliga utrikes födda invandrare",71.8,72.0
"24 Västerbottens län","män och kvinnor","samtliga utbildningsnivåer","samtliga",82.5,82.7
"24 Västerbottens län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Sverige",84.8,84.7
"24 Västerbottens län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Norden exkl. Sverige",77.9,77.7
"24 Västerbottens län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: EU/EFTA exkl. Norden",65.6,68.4
"24 Västerbottens län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: övriga världen",70.7,73.4
"24 Västerbottens län","män och kvinnor","samtliga utbildningsnivåer","samtliga utrikes födda invandrare",70.6,72.9
"25 Norrbottens län","män och kvinnor","samtliga utbildningsnivåer","samtliga",83.9,83.8
"25 Norrbottens län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Sverige",85.7,85.4
"25 Norrbottens län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: Norden exkl. Sverige",78.5,77.9
"25 Norrbottens län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: EU/EFTA exkl. Norden",67.4,69.3
"25 Norrbottens län","män och kvinnor","samtliga utbildningsnivåer","födelseregion: övriga världen",73.9,75.4
"25 Norrbottens län","män och kvinnor","samtliga utbildningsnivåer","samtliga utrikes födda invandrare",73.9,75.0
