"Number in population by employment status, grounds for settlement, number of years in Sweden, region of birth, sex, age and year"

"employment status","grounds for settlement","number of years in Sweden","region of birth","sex","age","2020","2021","2022","2023"
"total","total","0-3 years","Africa","total","30-39 years",11313,10704,9975,8977
"total","total","0-3 years","Africa","total","40-49 years",5267,4825,4450,3929
"total","total","0-3 years","Africa","total","50-59 years",1868,1624,1405,1222
"total","total","0-3 years","Africa","total","60-64 years",366,338,276,248
"total","total","0-3 years","Africa","total","65-69 years",249,194,145,136
"total","total","0-3 years","Africa","total","70-74 years",120,101,85,77
"total","total","0-3 years","Asia","total","total",125364,107115,95553,85909
"total","total","0-3 years","Asia","total","20-24 years",27101,21144,15388,10786
"total","total","0-3 years","Asia","total","25-29 years",24295,21662,20841,19432
"total","total","0-3 years","Asia","total","30-39 years",43706,39189,37767,35847
"total","total","0-3 years","Asia","total","40-49 years",19706,16907,15338,14299
"total","total","0-3 years","Asia","total","50-59 years",7459,5973,4612,4134
"total","total","0-3 years","Asia","total","60-64 years",1690,1237,845,729
"total","total","0-3 years","Asia","total","65-69 years",930,661,484,433
"total","total","0-3 years","Asia","total","70-74 years",473,348,278,239
"total","total","0-3 years","rest of the world, incl. Soviet Union","total","total",15645,16222,16556,15910
"total","total","0-3 years","rest of the world, incl. Soviet Union","total","20-24 years",1329,1333,1313,1329
"total","total","0-3 years","rest of the world, incl. Soviet Union","total","25-29 years",3802,3750,3663,3336
"total","total","0-3 years","rest of the world, incl. Soviet Union","total","30-39 years",6925,7325,7576,7221
"total","total","0-3 years","rest of the world, incl. Soviet Union","total","40-49 years",2462,2628,2760,2741
"total","total","0-3 years","rest of the world, incl. Soviet Union","total","50-59 years",839,886,938,931
"total","total","0-3 years","rest of the world, incl. Soviet Union","total","60-64 years",157,161,164,196
"total","total","0-3 years","rest of the world, incl. Soviet Union","total","65-69 years",92,92,99,114
"total","total","0-3 years","rest of the world, incl. Soviet Union","total","70-74 years",44,43,38,48
"total","total","0-3 years","unknown","total","total",401,383,293,236
"total","total","0-3 years","unknown","total","20-24 years",109,88,59,32
"total","total","0-3 years","unknown","total","25-29 years",76,79,62,51
"total","total","0-3 years","unknown","total","30-39 years",107,112,87,85
"total","total","0-3 years","unknown","total","40-49 years",58,60,45,41
"total","total","0-3 years","unknown","total","50-59 years",44,31,27,17
"total","total","0-3 years","unknown","total","60-64 years",3,6,9,5
"total","total","0-3 years","unknown","total","65-69 years",4,0,3,3
"total","total","0-3 years","unknown","total","70-74 years",3,0,0,0
"total","total","4-9 years","total","total","total",394336,428025,453287,453358
"total","total","4-9 years","total","total","20-24 years",50139,57634,62501,59626
"total","total","4-9 years","total","total","25-29 years",55485,59593,61581,61576
"total","total","4-9 years","total","total","30-39 years",149426,159670,166813,166622
"total","total","4-9 years","total","total","40-49 years",85656,92386,98574,101172
"total","total","4-9 years","total","total","50-59 years",37002,40690,44218,44644
"total","total","4-9 years","total","total","60-64 years",8510,9275,10152,10251
"total","total","4-9 years","total","total","65-69 years",4813,5327,5775,5876
"total","total","4-9 years","total","total","70-74 years",3305,3453,3677,3594
"total","total","4-9 years","Sweden","total","total",0,0,0,0
"total","total","4-9 years","Sweden","total","20-24 years",0,0,0,0
"total","total","4-9 years","Sweden","total","25-29 years",0,0,0,0
"total","total","4-9 years","Sweden","total","30-39 years",0,0,0,0
"total","total","4-9 years","Sweden","total","40-49 years",0,0,0,0
"total","total","4-9 years","Sweden","total","50-59 years",0,0,0,0
"total","total","4-9 years","Sweden","total","60-64 years",0,0,0,0
"total","total","4-9 years","Sweden","total","65-69 years",0,0,0,0
"total","total","4-9 years","Sweden","total","70-74 years",0,0,0,0
"total","total","4-9 years","Europe, excl. Sweden","total","total",121058,125292,130389,133023
"total","total","4-9 years","Europe, excl. Sweden","total","20-24 years",7356,7337,7301,7225
"total","total","4-9 years","Europe, excl. Sweden","total","25-29 years",16574,16875,16973,16844
"total","total","4-9 years","Europe, excl. Sweden","total","30-39 years",50876,52957,55024,55942
"total","total","4-9 years","Europe, excl. Sweden","total","40-49 years",28663,29816,31591,32759
"total","total","4-9 years","Europe, excl. Sweden","total","50-59 years",12156,12846,13799,14361
"total","total","4-9 years","Europe, excl. Sweden","total","60-64 years",2771,2824,2959,3092
"total","total","4-9 years","Europe, excl. Sweden","total","65-69 years",1532,1535,1632,1691
"total","total","4-9 years","Europe, excl. Sweden","total","70-74 years",1132,1098,1121,1109
"total","total","4-9 years","Africa","total","total",66365,69768,70958,66092
"total","total","4-9 years","Africa","total","20-24 years",13921,15354,15100,11827
"total","total","4-9 years","Africa","total","25-29 years",9305,9589,10118,10028
"total","total","4-9 years","Africa","total","30-39 years",24221,24939,24741,23646
"total","total","4-9 years","Africa","total","40-49 years",12727,13355,13876,13670
"total","total","4-9 years","Africa","total","50-59 years",4279,4568,5075,5020
"total","total","4-9 years","Africa","total","60-64 years",892,934,1022,945
"total","total","4-9 years","Africa","total","65-69 years",497,529,526,521
"total","total","4-9 years","Africa","total","70-74 years",524,495,495,437
"total","total","4-9 years","Asia","total","total",190648,215964,233886,235509
"total","total","4-9 years","Asia","total","20-24 years",27655,33725,38879,39373
"total","total","4-9 years","Asia","total","25-29 years",27947,31405,32677,32948
"total","total","4-9 years","Asia","total","30-39 years",67048,74054,78714,78249
"total","total","4-9 years","Asia","total","40-49 years",40294,45098,48748,50119
"total","total","4-9 years","Asia","total","50-59 years",19030,21682,23701,23590
"total","total","4-9 years","Asia","total","60-64 years",4521,5159,5790,5822
"total","total","4-9 years","Asia","total","65-69 years",2596,3063,3418,3456
"total","total","4-9 years","Asia","total","70-74 years",1556,1776,1961,1951
"total","total","4-9 years","rest of the world, incl. Soviet Union","total","total",15849,16558,17573,18246
"total","total","4-9 years","rest of the world, incl. Soviet Union","total","20-24 years",1159,1142,1134,1112
"total","total","4-9 years","rest of the world, incl. Soviet Union","total","25-29 years",1592,1661,1746,1687
"total","total","4-9 years","rest of the world, incl. Soviet Union","total","30-39 years",7126,7573,8181,8635
"total","total","4-9 years","rest of the world, incl. Soviet Union","total","40-49 years",3890,4022,4262,4525
"total","total","4-9 years","rest of the world, incl. Soviet Union","total","50-59 years",1500,1546,1597,1614
"total","total","4-9 years","rest of the world, incl. Soviet Union","total","60-64 years",325,347,368,382
"total","total","4-9 years","rest of the world, incl. Soviet Union","total","65-69 years",176,191,194,200
"total","total","4-9 years","rest of the world, incl. Soviet Union","total","70-74 years",84,82,98,93
"total","total","4-9 years","unknown","total","total",416,443,481,491
"total","total","4-9 years","unknown","total","20-24 years",47,73,91,95
"total","total","4-9 years","unknown","total","25-29 years",71,61,68,71
"total","total","4-9 years","unknown","total","30-39 years",151,145,155,149
"total","total","4-9 years","unknown","total","40-49 years",85,90,101,98
"total","total","4-9 years","unknown","total","50-59 years",41,45,54,53
"total","total","4-9 years","unknown","total","60-64 years",7,11,12,15
"total","total","4-9 years","unknown","total","65-69 years",12,10,3,5
"total","total","4-9 years","unknown","total","70-74 years",4,4,4,5
"total","total","10- years","total","total","total",997638,1030080,1066817,1108600
"total","total","10- years","total","total","20-24 years",42027,43490,45668,49993
"total","total","10- years","total","total","25-29 years",53519,54680,57658,62708
"total","total","10- years","total","total","30-39 years",189995,195427,198937,200605
"total","total","10- years","total","total","40-49 years",231874,244084,257736,272006
"total","total","10- years","total","total","50-59 years",227998,233365,239649,246697
"total","total","10- years","total","total","60-64 years",98751,101318,105273,110469
"total","total","10- years","total","total","65-69 years",82173,85417,88963,91831
"total","total","10- years","total","total","70-74 years",71307,72305,72933,74294
"total","total","10- years","Sweden","total","total",0,0,0,0
"total","total","10- years","Sweden","total","20-24 years",0,0,0,0
"total","total","10- years","Sweden","total","25-29 years",0,0,0,0
"total","total","10- years","Sweden","total","30-39 years",0,0,0,0
"total","total","10- years","Sweden","total","40-49 years",0,0,0,0
"total","total","10- years","Sweden","total","50-59 years",0,0,0,0
"total","total","10- years","Sweden","total","60-64 years",0,0,0,0
"total","total","10- years","Sweden","total","65-69 years",0,0,0,0
"total","total","10- years","Sweden","total","70-74 years",0,0,0,0
"total","total","10- years","Europe, excl. Sweden","total","total",488084,492819,498305,503087
"total","total","10- years","Europe, excl. Sweden","total","20-24 years",14456,14953,15511,15805
"total","total","10- years","Europe, excl. Sweden","total","25-29 years",17968,16853,16733,17442
"total","total","10- years","Europe, excl. Sweden","total","30-39 years",74145,76311,77668,77292
"total","total","10- years","Europe, excl. Sweden","total","40-49 years",98828,102466,106183,110017
"total","total","10- years","Europe, excl. Sweden","total","50-59 years",115875,115729,116184,116297
"total","total","10- years","Europe, excl. Sweden","total","60-64 years",57405,57416,57951,59227
"total","total","10- years","Europe, excl. Sweden","total","65-69 years",54683,55089,55454,55288
"total","total","10- years","Europe, excl. Sweden","total","70-74 years",54729,54006,52628,51716
"total","total","10- years","Africa","total","total",92971,100592,109411,122073
"total","total","10- years","Africa","total","20-24 years",5814,6296,7408,10148
"total","total","10- years","Africa","total","25-29 years",7163,7857,8768,11239
"total","total","10- years","Africa","total","30-39 years",21994,23861,25077,26505
"total","total","10- years","Africa","total","40-49 years",25244,27407,29905,32732
"total","total","10- years","Africa","total","50-59 years",20609,21952,23565,25192
"total","total","10- years","Africa","total","60-64 years",5967,6353,7192,7998
"total","total","10- years","Africa","total","65-69 years",3825,4234,4526,4998
"total","total","10- years","Africa","total","70-74 years",2358,2631,2976,3257
"total","total","10- years","Asia","total","total",335680,353870,374437,397314
"total","total","10- years","Asia","total","20-24 years",18646,19063,19536,20813
"total","total","10- years","Asia","total","25-29 years",24448,26115,28348,30217
"total","total","10- years","Asia","total","30-39 years",78327,80060,81371,82513
"total","total","10- years","Asia","total","40-49 years",86402,91968,98656,105848
"total","total","10- years","Asia","total","50-59 years",73462,77078,80756,85437
"total","total","10- years","Asia","total","60-64 years",27379,29316,31715,34466
"total","total","10- years","Asia","total","65-69 years",17282,19389,21854,24209
"total","total","10- years","Asia","total","70-74 years",9736,10889,12203,13812
"total","total","10- years","rest of the world, incl. Soviet Union","total","total",80585,82466,84329,85785
"total","total","10- years","rest of the world, incl. Soviet Union","total","20-24 years",3073,3146,3184,3200
"total","total","10- years","rest of the world, incl. Soviet Union","total","25-29 years",3902,3813,3769,3767
"total","total","10- years","rest of the world, incl. Soviet Union","total","30-39 years",15462,15117,14729,14203
"total","total","10- years","rest of the world, incl. Soviet Union","total","40-49 years",21327,22159,22910,23320
"total","total","10- years","rest of the world, incl. Soviet Union","total","50-59 years",17998,18549,19090,19708
"total","total","10- years","rest of the world, incl. Soviet Union","total","60-64 years",7982,8218,8405,8757
"total","total","10- years","rest of the world, incl. Soviet Union","total","65-69 years",6377,6692,7116,7325
"total","total","10- years","rest of the world, incl. Soviet Union","total","70-74 years",4467,4776,5120,5503
"total","total","10- years","unknown","total","total",320,332,331,343
"total","total","10- years","unknown","total","20-24 years",40,31,31,26
"total","total","10- years","unknown","total","25-29 years",33,48,40,41
"total","total","10- years","unknown","total","30-39 years",69,82,92,88
"total","total","10- years","unknown","total","40-49 years",81,89,81,90
"total","total","10- years","unknown","total","50-59 years",56,58,52,58
"total","total","10- years","unknown","total","60-64 years",16,10,12,20
"total","total","10- years","unknown","total","65-69 years",8,13,17,15
"total","total","10- years","unknown","total","70-74 years",15,5,7,3
"total","total","data not available","total","total","total",0,0,0,0
"total","total","data not available","total","total","20-24 years",0,0,0,0
"total","total","data not available","total","total","25-29 years",0,0,0,0
"total","total","data not available","total","total","30-39 years",0,0,0,0
"total","total","data not available","total","total","40-49 years",0,0,0,0
"total","total","data not available","total","total","50-59 years",0,0,0,0
"total","total","data not available","total","total","60-64 years",0,0,0,0
"total","total","data not available","total","total","65-69 years",0,0,0,0
"total","total","data not available","total","total","70-74 years",0,0,0,0
"total","total","data not available","Sweden","total","total",0,0,0,0
"total","total","data not available","Sweden","total","20-24 years",0,0,0,0
"total","total","data not available","Sweden","total","25-29 years",0,0,0,0
"total","total","data not available","Sweden","total","30-39 years",0,0,0,0
"total","total","data not available","Sweden","total","40-49 years",0,0,0,0
"total","total","data not available","Sweden","total","50-59 years",0,0,0,0
"total","total","data not available","Sweden","total","60-64 years",0,0,0,0
"total","total","data not available","Sweden","total","65-69 years",0,0,0,0
"total","total","data not available","Sweden","total","70-74 years",0,0,0,0
"total","total","data not available","Europe, excl. Sweden","total","total",0,0,0,0
"total","total","data not available","Europe, excl. Sweden","total","20-24 years",0,0,0,0
"total","total","data not available","Europe, excl. Sweden","total","25-29 years",0,0,0,0
"total","total","data not available","Europe, excl. Sweden","total","30-39 years",0,0,0,0
"total","total","data not available","Europe, excl. Sweden","total","40-49 years",0,0,0,0
"total","total","data not available","Europe, excl. Sweden","total","50-59 years",0,0,0,0
"total","total","data not available","Europe, excl. Sweden","total","60-64 years",0,0,0,0
"total","total","data not available","Europe, excl. Sweden","total","65-69 years",0,0,0,0
"total","total","data not available","Europe, excl. Sweden","total","70-74 years",0,0,0,0
"total","total","data not available","Africa","total","total",0,0,0,0
"total","total","data not available","Africa","total","20-24 years",0,0,0,0
"total","total","data not available","Africa","total","25-29 years",0,0,0,0
"total","total","data not available","Africa","total","30-39 years",0,0,0,0
"total","total","data not available","Africa","total","40-49 years",0,0,0,0
"total","total","data not available","Africa","total","50-59 years",0,0,0,0
"total","total","data not available","Africa","total","60-64 years",0,0,0,0
"total","total","data not available","Africa","total","65-69 years",0,0,0,0
"total","total","data not available","Africa","total","70-74 years",0,0,0,0
"total","total","data not available","Asia","total","total",0,0,0,0
"total","total","data not available","Asia","total","20-24 years",0,0,0,0
"total","total","data not available","Asia","total","25-29 years",0,0,0,0
"total","total","data not available","Asia","total","30-39 years",0,0,0,0
"total","total","data not available","Asia","total","40-49 years",0,0,0,0
"total","total","data not available","Asia","total","50-59 years",0,0,0,0
"total","total","data not available","Asia","total","60-64 years",0,0,0,0
"total","total","data not available","Asia","total","65-69 years",0,0,0,0
"total","total","data not available","Asia","total","70-74 years",0,0,0,0
"total","total","data not available","rest of the world, incl. Soviet Union","total","total",0,0,0,0
"total","total","data not available","rest of the world, incl. Soviet Union","total","20-24 years",0,0,0,0
"total","total","data not available","rest of the world, incl. Soviet Union","total","25-29 years",0,0,0,0
"total","total","data not available","rest of the world, incl. Soviet Union","total","30-39 years",0,0,0,0
"total","total","data not available","rest of the world, incl. Soviet Union","total","40-49 years",0,0,0,0
"total","total","data not available","rest of the world, incl. Soviet Union","total","50-59 years",0,0,0,0
"total","total","data not available","rest of the world, incl. Soviet Union","total","60-64 years",0,0,0,0
"total","total","data not available","rest of the world, incl. Soviet Union","total","65-69 years",0,0,0,0
"total","total","data not available","rest of the world, incl. Soviet Union","total","70-74 years",0,0,0,0
"total","total","data not available","unknown","total","total",0,0,0,0
"total","total","data not available","unknown","total","20-24 years",0,0,0,0
"total","total","data not available","unknown","total","25-29 years",0,0,0,0
"total","total","data not available","unknown","total","30-39 years",0,0,0,0
"total","total","data not available","unknown","total","40-49 years",0,0,0,0
"total","total","data not available","unknown","total","50-59 years",0,0,0,0
"total","total","data not available","unknown","total","60-64 years",0,0,0,0
"total","total","data not available","unknown","total","65-69 years",0,0,0,0
"total","total","data not available","unknown","total","70-74 years",0,0,0,0
"total","relatives - not refugees","total","total","total","total",356964,373727,391347,405278
"total","relatives - not refugees","total","total","total","20-24 years",42616,42258,41925,41434
"total","relatives - not refugees","total","total","total","25-29 years",45335,48213,50537,52335
"total","relatives - not refugees","total","total","total","30-39 years",111958,116821,121756,123968
"total","relatives - not refugees","total","total","total","40-49 years",70176,74435,80016,85467
"total","relatives - not refugees","total","total","total","50-59 years",55043,57046,58632,59791
"total","relatives - not refugees","total","total","total","60-64 years",16779,18121,19658,21539
"total","relatives - not refugees","total","total","total","65-69 years",9938,11081,12404,13490
"total","relatives - not refugees","total","total","total","70-74 years",5121,5745,6418,7250
"total","relatives - not refugees","total","Sweden","total","total",38352,41437,44024,46525
"total","relatives - not refugees","total","Sweden","total","20-24 years",17383,16514,15610,15041
"total","relatives - not refugees","total","Sweden","total","25-29 years",10575,13099,15001,16371
"total","relatives - not refugees","total","Sweden","total","30-39 years",7356,8523,9842,11237
"total","relatives - not refugees","total","Sweden","total","40-49 years",2207,2335,2446,2576
"total","relatives - not refugees","total","Sweden","total","50-59 years",591,729,877,1036
"total","relatives - not refugees","total","Sweden","total","60-64 years",113,115,118,126
"total","relatives - not refugees","total","Sweden","total","65-69 years",65,69,79,94
"total","relatives - not refugees","total","Sweden","total","70-74 years",57,53,44,51
"total","relatives - not refugees","total","Europe, excl. Sweden","total","total",118687,121269,124344,126440
"total","relatives - not refugees","total","Europe, excl. Sweden","total","20-24 years",9448,9406,9413,9176
"total","relatives - not refugees","total","Europe, excl. Sweden","total","25-29 years",11725,11707,11846,11830
"total","relatives - not refugees","total","Europe, excl. Sweden","total","30-39 years",31383,31974,32534,32364
"total","relatives - not refugees","total","Europe, excl. Sweden","total","40-49 years",24559,24921,25680,26656
